mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الرياض,غرب الرياض,حي ظهرة لبن,شمال,سكني,20,727,1800
بريدة,,حي مشعل,غرب,,15,450,950
الخبر,,حي الحمرا,غرب,تجاري,100,1450,3500
الخبر,,حي الحزام الاخضر,شرق,,15,440,2700
بريدة,,حي الرحاب,جنوب غربي,,40,784,950
الرياض,شمال الرياض,حي العارض,جنوب,تجاري,60,5973,2000
جدة,شمال جدة,حي الريان,شرق,سكني,20,660,2300
سكاكا,,حي مخطط كريم الدرزي,شمال,سكني,15,735,219
الجموم,,حي النسيم,غرب,,60,153500,195
المدينة المنورة,,حي الخالدية,شمال غربي,تجاري,40,591,5076
بريدة,,حي القصيعة,شرق,سكني,15,400,235
الرياض,جنوب الرياض,حي السلي,3 شوارع,تجاري,35,3200,1500
الرياض,شرق الرياض,حي اشبيلية,شمال غربي,سكني,20,743,2500
جدة,شمال جدة,حي الزهراء,جنوب,سكني,15,600,5333
المدينة المنورة,,حي الغابة,جنوب شرقي,تجاري,40,7322,1502
الرياض,شرق الرياض,حي الشرق,شمال,سكني,25,840,300
الدمام,,حي طيبة,شمال,تجاري,80,1818,2900
الرياض,جنوب الرياض,حي السلي,شمال,,60,1800,1666
الرياض,شمال الرياض,حي القيروان,4 شوارع,تجاري,30,3000,2900
مكة المكرمة,,حي الراشدية,جنوب,تجاري,100,12370,550
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,525,2200
الرياض,شمال الرياض,حي صلاح الدين,3 شوارع,تجاري,80,3250,10000
عرعر,,حي الصالحية,جنوب,سكني,20,805,161
بريدة,,حي العريمضي,شرق,,25,500,330
جدة,شمال جدة,حي الورود,غرب,سكني أو تجاري,55,4160,9500
المدينة المنورة,,حي ابو بريقاء,شمال,تجاري,100,1640,4000
عنيزة,,حي الصفا,شرق,سكني,30,450,333
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,1050,2150
المدينة المنورة,,حي السكب,جنوب,سكني,25,1000,1000
مكة المكرمة,,حي العكيشية,شمال غربي,سكني,20,632,1000
الرياض,جنوب الرياض,حي المشاعل,3 شوارع,تجاري,30,7222,750
الدمام,,حي الخليج,شمال غربي,سكني,20,325,2615
الرياض,جنوب الرياض,حي الغنامية,غرب,سكني,10,480,350
الرياض,جنوب الرياض,حي السلي,شمال,,60,3600,1660
خميس مشيط,,حي الربيع,جنوب,سكني,25,750,466
بريدة,,حي الشقة,غرب,سكني,15,437,240
المدينة المنورة,,حي الجصة,غرب,سكني,20,889,101
الرياض,شمال الرياض,حي بنبان,4 شوارع,سكني أو تجاري,100,2610000,350
سكاكا,,حي مخطط المنح الخاصة,شمال غربي,سكني أو تجاري,30,720,236
بريدة,,حي خب الكيفة,شرق,سكني أو تجاري,30,639,350
الدرعية,,حي الدرعية الجديدة,جنوب شرقي,سكني,20,975,1000
المزاحمية,,حي الغطغط,جنوب,سكني,15,2000,60
المدينة المنورة,,حي العزيزية,جنوب,سكني,20,375,1100
الزلفي,,حي اليرموك,جنوب غربي,سكني أو تجاري,30,640,282
بريدة,,حي مشعل,شرق,,15,450,950
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني أو تجاري,46,13200,2800
الرياض,شرق الرياض,حي الخليج,3 شوارع,سكني,15,2560,2000
